Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
17,7,2008,909.83,9.838,0.010931
18,7,2008,911.32,1.4806,0.001627
21,7,2008,919.19,7.8753,0.008642
22,7,2008,917.09,-2.1043,-0.002289
23,7,2008,922.51,5.425,0.005915
24,7,2008,926.07,3.5621,0.003861
25,7,2008,932.59,6.5181,0.007038
28,7,2008,921.94,-10.6542,-0.011424
29,7,2008,923.17,1.2315,0.001336
30,7,2008,935.39,12.2202,0.013237
31,7,2008,944.87,9.4763,0.010131
1,8,2008,943.23,-1.6389,-0.001735
4,8,2008,935.98,-7.2475,-0.007684
5,8,2008,937,1.0188,0.001088
6,8,2008,931.61,-5.3848,-0.005747
8,8,2008,937.26,5.645,0.00606
11,8,2008,937.96,0.7031,0.00075
12,8,2008,934.12,-3.8394,-0.004093
13,8,2008,939.69,5.5631,0.005955
14,8,2008,938.25,-1.4375,-0.00153
15,8,2008,944.9,6.6533,0.007091
19,8,2008,941.02,-3.8775,-0.004104
20,8,2008,948.72,7.6996,0.008182
21,8,2008,955.5,6.7816,0.007148
22,8,2008,955.72,0.2119,0.000222
25,8,2008,950.33,-5.3894,-0.005639
26,8,2008,952.62,2.2974,0.002417
27,8,2008,956.43,3.807,0.003996
28,8,2008,978.39,21.9611,0.022961
29,8,2008,992.25,13.861,0.014167
1,9,2008,1025.1,32.8424,0.033099
2,9,2008,1022.45,-2.6444,-0.00258
3,9,2008,1017.24,-5.2099,-0.005095
4,9,2008,1005.96,-11.2826,-0.011091
5,9,2008,998.95,-7.0135,-0.006972
8,9,2008,1010.74,11.7974,0.01181
9,9,2008,1010.52,-0.2268,-0.000224
10,9,2008,1012.76,2.2474,0.002224
11,9,2008,1025.82,13.0589,0.012894
12,9,2008,1023.76,-2.0587,-0.002007
15,9,2008,1003.92,-19.8392,-0.019379
16,9,2008,967.46,-36.4672,-0.036325
17,9,2008,950.39,-17.0641,-0.017638
18,9,2008,949.69,-0.7007,-0.000737
19,9,2008,985.09,35.3938,0.037269
22,9,2008,983.04,-2.0423,-0.002073
23,9,2008,963.83,-19.2124,-0.019544
24,9,2008,976.22,12.391,0.012856
25,9,2008,989.68,13.458,0.013786
26,9,2008,983.87,-5.8119,-0.005872
29,9,2008,960.91,-22.9615,-0.023338
30,9,2008,973.53,12.6267,0.01314
1,10,2008,975.83,2.2947,0.002357
2,10,2008,965.86,-9.9738,-0.010221
3,10,2008,966.14,0.2893,0.0003
6,10,2008,921.9,-44.2411,-0.045791
7,10,2008,915.05,-6.8574,-0.007438
8,10,2008,888.02,-27.0255,-0.029535
9,10,2008,868.42,-19.5962,-0.022067
10,10,2008,794.28,-74.1464,-0.08538
14,10,2008,866.75,72.4704,0.091241
15,10,2008,815.07,-51.6807,-0.059626
16,10,2008,782.85,-32.2138,-0.039523
17,10,2008,805,22.1486,0.028292
20,10,2008,811.15,6.149,0.007638
21,10,2008,808.09,-3.0649,-0.003778
22,10,2008,766.03,-42.0539,-0.052041
23,10,2008,739.72,-26.3119,-0.034348
24,10,2008,706.58,-33.138,-0.044798
27,10,2008,686.65,-19.9373,-0.028217
28,10,2008,714.55,27.9001,0.040632
29,10,2008,750.92,36.3745,0.050906
30,10,2008,778.19,27.2694,0.036315
31,10,2008,788.73,10.5409,0.013545
4,11,2008,803.11,14.3839,0.018237
5,11,2008,778.69,-24.4251,-0.030413
6,11,2008,744.27,-34.4211,-0.044204
7,11,2008,774.58,30.3099,0.040724
10,11,2008,774.07,-0.5031,-0.00065
11,11,2008,767.34,-6.7386,-0.008705
12,11,2008,754.76,-12.5787,-0.016393
13,11,2008,751.1,-3.6544,-0.004842
14,11,2008,776.94,25.8361,0.034398
18,11,2008,758.96,-17.9752,-0.023136
19,11,2008,758.74,-0.2215,-0.000292
20,11,2008,751.77,-6.9709,-0.009187
21,11,2008,746.14,-5.6307,-0.00749
24,11,2008,770.49,24.3521,0.032637
25,11,2008,774.57,4.082,0.005298
26,11,2008,791.4,16.8221,0.021718
27,11,2008,803.86,12.4617,0.015746
28,11,2008,803.11,-0.7438,-0.000925
1,12,2008,789.27,-13.8433,-0.017237
2,12,2008,796.58,7.3056,0.009256
3,12,2008,816.16,19.583,0.024584
4,12,2008,821.92,5.7563,0.007053
5,12,2008,816.88,-5.0415,-0.006134
9,12,2008,840.76,23.8806,0.029234
10,12,2008,859.49,18.7326,0.022281
11,12,2008,865.83,6.3447,0.007382
12,12,2008,861.74,-4.0958,-0.00473
15,12,2008,867.99,6.248,0.007251
16,12,2008,866.41,-1.5751,-0.001815
17,12,2008,865.11,-1.3019,-0.001503
18,12,2008,856.54,-8.5713,-0.009908
19,12,2008,854.92,-1.6158,-0.001886
22,12,2008,856.97,2.0444,0.002391
23,12,2008,856.19,-0.7802,-0.00091
24,12,2008,851.17,-5.0185,-0.005861
26,12,2008,850.4,-0.7695,-0.000904
29,12,2008,845.09,-5.3082,-0.006242
30,12,2008,851.35,6.2597,0.007407
2,1,2009,861.17,9.8218,0.011537
5,1,2009,862.25,1.0754,0.001249
6,1,2009,882.45,20.2016,0.023429
7,1,2009,870.55,-11.898,-0.013483
